No,Keyword,Search Volume,CPC,Paid Difficulty,Search Difficulty
1,learn docker,720,$2.22,15,77
2,docker course,210,$4.08,38,70
3,learn docker and kubernetes,110,$5.24,33,88
4,best docker course,50,$4.48,25,64
5,how to learn docker,50,$2.43,9,75
6,learn docker in a month of lunches,40,$3.38,21,78
7,best way to learn docker,30,$2.46,24,62
8,docker course online,30,$3.18,15,68
9,how to learn docker from scratch,10,$0,1,5
10,learn docker or kubernetes first,20,$0,1,77
11,learn docker in a month of lunches pdf,20,$0,27,67
12,do i need to learn docker before kubernetes,20,$0,2,78
13,kubernetes docker course,20,$5.70,16,18
14,kubernetes and docker course,20,$2.83,62,78
15,learn docker online,20,$3.76,17,72
16,how to learn docker and kubernetes,20,$5.23,56,83
17,how long to learn docker,20,$0,3,81
18,learn docker in 12 minutes,10,$0,1,5
19,free docker course,20,$1.64,23,66
20,learn docker in 1 hour,10,$0,1,5
