No,Keyword,Search Volume,CPC,Paid Difficulty,SEO Difficulty
1,"docker course",210,"$4.08",38,70
2,"learn docker",720,"$2.22",15,77
3,"courses on docker",260,"$3.05",40,26
4,"docker 101",260,"$0",1,76
5,"learn docker and kubernetes",110,"$5.24",33,88
6,"docker requirements",90,"$0",1,74
7,"docker crash course",70,"$4.66",5,54
8,"how to learn docker",50,"$2.43",9,75
9,"learn docker in a month of lunches",40,"$3.38",21,78
10,"docker class",40,"$4.49",25,69
11,"how many docker containers can i run",40,"$0",1,87
12,"coursera docker",40,"$4.44",12,92
13,"is docker hard to learn",30,"$0",1,66
14,"docker training online",30,"$6.01",19,70
15,"docker course online",30,"$3.18",15,68
16,"docker coursera",30,"$2.71",8,92
17,"learn docker in a month of lunches pdf",20,"$0",27,67
18,"which docker",20,"$0",1,89
19,"docker training course",20,"$7.13",35,24
20,"docker training courses",20,"$7.13",35,24
21,"free docker courses",20,"$1.65",23,64
22,"how much does docker cost",20,"$0",5,78
23,"docker 3.6.0",20,"$0",1,18
24,"learn docker online",20,"$3.77",17,72
25,"how to learn docker and kubernetes",20,"$5.23",56,83
26,"learn docker or kubernetes first",20,"$0",1,77
27,"docker versus virtual machine",20,"$6.10",12,9
28,"docker jobs salary",20,"$0",11,65
29,"is docker certification worth it",20,"$0",1,61
30,"docker crash course youtube",10,"$0",1,5
