No,Keyword,Search Volume,CPC,Paid Difficulty,SEO Difficulty
1,"docker container",12100,"$4.40",4,89
2,"docker",165000,"$33.21",54,77
3,"dockerfile",8100,"$2.98",1,70
4,"foot doctor near me",90500,"$4.40",21,51
5,"docker hub",74000,"$3.26",1,85
6,"dockers pants",27100,"$3.16",100,81
7,"docker pants",27100,"$5.87",100,84
8,"docker compose",22200,"$2.00",1,75
9,"docker desktop",22200,"$1.40",2,90
10,"docker install",14800,"$2.67",1,90
11,"docker ubuntu install",14800,"$2.09",1,17
12,"docker run",14800,"$3.16",1,90
13,"docker install ubuntu",14800,"$3.87",1,68
14,"docker shoes",12100,"$3.77",100,72
15,"dockers shoes",12100,"$0.73",100,76
16,"docker build",9900,"$2.91",1,72
17,"docker windows",9900,"$2.03",1,83
18,"docker for windows",8100,"$1.47",1,83
19,"docker image",8100,"$2.16",1,85
20,"docker file",8100,"$2.98",1,65
21,"docker download",8100,"$3.06",7,90
22,"docker on windows",8100,"$1.82",1,69
23,"dockerfile log",6600,"$8.16",1,57
24,"docker on mac",6600,"$4.34",1,69
25,"docker logs",6600,"$8.16",1,60
26,"docker mac",6600,"$4.30",1,81
27,"docker for mac",6600,"$5.04",1,83
28,"docker login",6600,"$7.10",1,83
29,"docker macos",6600,"$5.04",1,67
30,"docker remove image",5400,"$0",1,63
