No,Keyword,Search Volume,CPC,Paid Difficulty,SEO Difficulty
1,"docker installation tutorial","10","$0","28","22"
2,"docker installation guide","30","$0","1","14"
3,"gitlab docker install tutorial","10","$0","1","5"
4,"docker setup tutorial","10","$0","1","13"
5,"docker installation instructions","10","$0","1","13"
6,"install docker linux tutorial","0","$0","1","4"
7,"docker installation guide centos","0","$0","1","4"
8,"docker installation windows tutorial","0","$0","1","4"
9,"docker installation guide for windows","0","$0","1","4"
10,"docker install tutorial ubuntu","0","$0","1","4"
11,"docker installation guide ubuntu","0","$0","1","4"
12,"docker tutorial install windows","0","$0","1","4"
